pt_code,brand,mfg_code,name,series,famiglia_catalogo,current_btu,proposed_btu,current_kw,catalog_kw,model_capacity_class,issue_type,evidence,confidence,auto_correctable
50381746,HITACHI,RPI-2.5FSR1E,UI UTOPIA PRIME CANAL M/P RPI-2.5FSR1E,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
50382330,HITACHI,RPI-3.0FSR1E,UI UTOPIA PRIME CANAL M/P RPI-3.0FSR1E,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
50382347,HITACHI,RPI-4.0FSR1E,UI UTOPIA PRIME CANAL M/P RPI-4.0FSR1E,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
50382361,HITACHI,RPI-5.0FSR1E,UI UTOPIA PRIME CANAL M/P RPI-5.0FSR1E,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
50383528,HITACHI,RCI-3.0FSR1,UI UTOPIA PRIME CASSETT 4VIE RCI-3.0FSR1,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
50383542,HITACHI,RCI-4.0FSR1,UI UTOPIA PRIME CASSETT 4VIE RCI-4.0FSR1,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
50383771,HITACHI,RCI-5.0FSR1,UI UTOPIA PRIME CASSETT 4VIE RCI-5.0FSR1,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
50383788,HITACHI,RCI-6.0FSR1,UI UTOPIA PRIME CASSETT 4VIE RCI-6.0FSR1,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
50381067,HITACHI,RPC-2.0FSR,UI UTOPIA PRIME SOFFITTO RPC--2.0FSR,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
50381111,HITACHI,RPC-2.5FSR,UI UTOPIA PRIME SOFFITTO RPC--2.5FSR,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
50122677,HITACHI,RPC-3.0FSR,UI UTOPIA PRIME SOFFITTO RPC--3.0FSR,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
50122691,HITACHI,RPC-4.0FSR,UI UTOPIA PRIME SOFFITTO RPC--4.0FSR,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
50122707,HITACHI,RPC-5.0FSR,UI UTOPIA PRIME SOFFITTO RPC--5.0FSR,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
50122721,HITACHI,RPC-6.0FSR,UI UTOPIA PRIME SOFFITTO RPC--6.0FSR,UTOPIA PRIME / IVX PRIME,UTOPIA PRIME / IVX PRIME,9000,9000,,,,OK,[],0.65,False
50322299,HSD,8000010692,UI VIVAIR LITE B1-020S NWI,VIVAIR LITE,VIVAIR LITE,7000,7000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50322299"",""model"":""SDHB1-020S NWI"",""mpn"":""8000010692"",""catalog_family"":""VIVAIR LITE"",""page"":616,""confidence"":1.0}]",0.9,False
50322190,HSD,8000010704,UI VIVAIR LITE B1-025S NWI,VIVAIR LITE,VIVAIR LITE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50322190"",""model"":""U.I. SDH B1-025S NWI"",""mpn"":""8000010704"",""catalog_family"":""VIVAIR LITE"",""page"":615,""confidence"":1.0}]",0.9,False
50322206,HSD,8000010709,UI VIVAIR LITE B1-035S NWI,VIVAIR LITE,VIVAIR LITE,12000,12000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50322206"",""model"":""U.I. SDH B1-035S NWI"",""mpn"":""8000010709"",""catalog_family"":""VIVAIR LITE"",""page"":615,""confidence"":1.0}]",0.9,False
50322213,HSD,8000010694,UI VIVAIR LITE B1-050S NWI,VIVAIR LITE,VIVAIR LITE,18000,18000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50322213"",""model"":""U.I. SDH B1-050S NWI"",""mpn"":""8000010694"",""catalog_family"":""VIVAIR LITE"",""page"":615,""confidence"":1.0}]",0.9,False
50322220,HSD,8000010701,UI VIVAIR LITE B1-065S NWI,VIVAIR LITE,VIVAIR LITE,24000,24000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50322220"",""model"":""U.I. SDH B1-065S NWI"",""mpn"":""8000010701"",""catalog_family"":""VIVAIR LITE"",""page"":615,""confidence"":1.0}]",0.9,False
50390366,HSD,8000015121,UI VIVAIR MAX SDHP1-020SNWI,MULTI SPLIT VIVAIR,MULTI SPLIT VIVAIR,7000,7000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50390366"",""model"":""SDHP1-020SNWI"",""mpn"":""8000015121"",""catalog_family"":""VIVAIR MAX"",""page"":616,""confidence"":1.0}]",0.9,False
50390328,HSD,8000010680,UI VIVAIR MAX SDHP1-025SNWI,VIVAIR LITE,VIVAIR LITE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50390328"",""model"":""U.I. SDHP1-025SNWI"",""mpn"":""8000010680"",""catalog_family"":""VIVAIR MAX"",""page"":615,""confidence"":1.0}]",0.9,False
50390335,HSD,8000010689,UI VIVAIR MAX SDHP1-035SNWI,VIVAIR LITE,VIVAIR LITE,12000,12000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50390335"",""model"":""U.I. SDHP1-035SNWI"",""mpn"":""8000010689"",""catalog_family"":""VIVAIR MAX"",""page"":615,""confidence"":1.0}]",0.9,False
50390342,HSD,8000010688,UI VIVAIR MAX SDHP1-050SNWI,VIVAIR LITE,VIVAIR LITE,18000,18000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50390342"",""model"":""U.I. SDHP1-050SNWI"",""mpn"":""8000010688"",""catalog_family"":""VIVAIR MAX"",""page"":615,""confidence"":1.0}]",0.9,False
50390359,HSD,8000010691,UI VIVAIR MAX SDHP1-065SNWI,VIVAIR LITE,VIVAIR LITE,24000,24000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50390359"",""model"":""U.I. SDHP1-065SNWI"",""mpn"":""8000010691"",""catalog_family"":""VIVAIR MAX"",""page"":615,""confidence"":1.0}]",0.9,False
50125487,HSD,0010044037,UI VIVAIR ONE SDHL 1-030NWI R32,VIVAIR LITE,VIVAIR LITE,12000,12000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50125487"",""model"":""U.I. SDHL 1-030 NWI"",""mpn"":""0010044037"",""catalog_family"":""VIVAIR ONE"",""page"":615,""confidence"":1.0}]",0.9,False
99653767,HSD,0010022697,UI VIVAIR TOP COMFORT 20-025 NWI R32,VIVAIR TOP,VIVAIR TOP,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""99653767"",""model"":""U.I. 20-025 NWI"",""mpn"":""0010022697"",""catalog_family"":""VIVAIR TOP COMFORT"",""page"":615,""confidence"":1.0}]",0.9,False
99653781,HSD,0010022698,UI VIVAIR TOP COMFORT 20-035 NWI R32,VIVAIR TOP,VIVAIR TOP,7000,7000,,,,OK,[],0.65,False
99653828,HSD,0010022700,UI VIVAIR TOP COMFORT 20-065 NWI R32,VIVAIR TOP,VIVAIR TOP,24000,24000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""99653828"",""model"":""U.I. 20-065 NWI"",""mpn"":""0010022700"",""catalog_family"":""VIVAIR TOP COMFORT"",""page"":615,""confidence"":1.0}]",0.9,False
99600051,HSD,0010022682,UI VIVAIR UNI COMFORT 19-025 NWI R32,VIVAIR LITE,VIVAIR LITE,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""99600051"",""model"":""U.I. 19-025 NWI"",""mpn"":""0010022682"",""catalog_family"":""VIVAIR UNI COMFORT"",""page"":615,""confidence"":1.0}]",0.9,False
99600068,HSD,0010022683,UI VIVAIR UNI COMFORT 19-035 NWI R32,VIVAIR LITE,VIVAIR LITE,12000,12000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""99600068"",""model"":""U.I. 19-035 NWI"",""mpn"":""0010022683"",""catalog_family"":""VIVAIR UNI COMFORT"",""page"":615,""confidence"":1.0}]",0.9,False
50206261,LG,W09EG.NSJ,UI WINNER W09EG,LG SERIE COMMERCIALE,LG SERIE COMMERCIALE,9000,9000,,,,OK,[],0.65,False
50206285,LG,W12EG.NSJ,UI WINNER W12EG,LG SERIE COMMERCIALE,LG SERIE COMMERCIALE,9000,9000,,,,OK,[],0.65,False
50129577,MIDEA,MSAGBU-12HRFN8/WR,UI XTREME PRO 12,XTREME PRO / XTREME PRO GREEN,XTREME PRO / XTREME PRO GREEN,12000,12000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50129577"",""model"":""MSAGBU-12HRFN8/WR"",""mpn"":""MSAGBU-12HRFN8/WR"",""catalog_family"":""XTREME PRO"",""page"":540,""confidence"":1.0}]",0.9,False
50128662,MIDEA,MSAGBU-09HRFN8/GR,UI XTREME PRO GREEN 09,XTREME PRO / XTREME PRO GREEN,XTREME PRO / XTREME PRO GREEN,9000,9000,,,,OK,"[{""source"":""Knowledge/catalog_table_context.json"",""match"":""pt_code"",""pt_code"":""50128662"",""model"":""U.I. MSAGBU-09HRFN8/GR"",""mpn"":""MSAGBU-09HRFN8/GR"",""catalog_family"":""XTREME PRO GREEN"",""page"":539,""confidence"":1.0}]",0.9,False
